,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
444,mlp,0.8861455748552522,0.9122602975615063,0.9332986472424558,0.01752540838452604,,,1e-07,,,10,,,,1000,,,3,lbfgs,
246,ExtraTreesClassifier,0.9006867845993757,0.9120963390780888,0.9396778435239974,0.01424893706459996,,,,gini,,,,5,log2,,40,,,,
450,mlp,0.9025227460711331,0.9115217691137806,0.9210634451019066,0.007530247804329679,,,1e-07,,,10,,,,2000,,,0,lbfgs,
442,mlp,0.9025227460711331,0.9115217691137806,0.9210634451019066,0.007530247804329679,,,1e-07,,,10,,,,1000,,,0,lbfgs,
446,mlp,0.9025227460711331,0.9115217691137806,0.9210634451019066,0.007530247804329679,,,1e-07,,,10,,,,1500,,,0,lbfgs,
341,ExtraTreesClassifier,0.8806089743589745,0.9108757439208691,0.9324245577523413,0.018620601155546864,,,,entropy,,,,6,auto,,20,,,,
447,mlp,0.884759204470743,0.9099755437403921,0.9386888657648284,0.020449265644269334,,,1e-07,,,10,,,,1500,,,1,lbfgs,
451,mlp,0.884759204470743,0.9099755437403921,0.9386888657648284,0.020449265644269334,,,1e-07,,,10,,,,2000,,,1,lbfgs,
443,mlp,0.884759204470743,0.9099755437403921,0.9386888657648284,0.020449265644269334,,,1e-07,,,10,,,,1000,,,1,lbfgs,
233,ExtraTreesClassifier,0.8738006617038875,0.9091675110711572,0.9374383629191322,0.021962834972469286,,,,gini,,,,5,auto,,20,,,,
423,mlp,0.87853385930309,0.90910703224575,0.9387304890738815,0.022085135395612,,,0.0001,,,10,,,,1500,,,1,lbfgs,
427,mlp,0.87853385930309,0.90910703224575,0.9387304890738815,0.022085135395612,,,0.0001,,,10,,,,2000,,,1,lbfgs,
419,mlp,0.87853385930309,0.90910703224575,0.9387304890738815,0.022085135395612,,,0.0001,,,10,,,,1000,,,1,lbfgs,
44,RandomForestClassifier,0.88595947063689,0.909087844406543,0.9333086785009862,0.018768736286253137,,,,gini,,,,4,sqrt,,50,,,,
264,ExtraTreesClassifier,0.8880686517783292,0.9087472690689692,0.9272840790842871,0.013221613482757513,,,,gini,,,,6,log2,,40,,,,
239,ExtraTreesClassifier,0.8691480562448304,0.9064220799545181,0.9301977107180021,0.022144015655344663,,,,gini,,,,5,sqrt,,20,,,,
463,mlp,0.87939677843524,0.9062418944352426,0.9356503642039542,0.02231270827660078,,,1e-07,,,13,,,,2000,,,1,lbfgs,
459,mlp,0.87939677843524,0.9062418944352426,0.9356503642039542,0.02231270827660078,,,1e-07,,,13,,,,1500,,,1,lbfgs,
455,mlp,0.87939677843524,0.9062418944352426,0.9356503642039542,0.02231270827660078,,,1e-07,,,13,,,,1000,,,1,lbfgs,
318,ExtraTreesClassifier,0.8847187758478081,0.9057133818870191,0.9308220603537981,0.018695799512741737,,,,entropy,,,,4,log2,,40,,,,
439,mlp,0.879766600920447,0.9053597062218091,0.936149843912591,0.02293497136359606,,,0.0001,,,13,,,,2000,,,1,lbfgs,
435,mlp,0.879766600920447,0.9053597062218091,0.936149843912591,0.02293497136359606,,,0.0001,,,13,,,,1500,,,1,lbfgs,
431,mlp,0.879766600920447,0.9053597062218091,0.936149843912591,0.02293497136359606,,,0.0001,,,13,,,,1000,,,1,lbfgs,
100,RandomForestClassifier,0.8778949545078577,0.9045408167035079,0.9202827087442473,0.017847320008692165,,,,entropy,,,,4,auto,,50,,,,
389,ExtraTreesClassifier,0.8681141439205955,0.9037814376050587,0.937585848074922,0.02223747932039849,,,,entropy,,,,8,log2,,20,,,,
228,ExtraTreesClassifier,0.8849441157133466,0.9011935370987241,0.9183002481389577,0.01095001823685159,,,,gini,,,,4,log2,,40,,,,
281,ExtraTreesClassifier,0.8725550624589086,0.9004519987603313,0.91418063773833,0.015087388932504374,,,,gini,,,,7,log2,,20,,,,
292,ExtraTreesClassifier,0.8895463510848126,0.9004293082758824,0.9219771071800208,0.011455682978355626,,,,gini,,,,8,sqrt,,10,,,,
438,mlp,0.8791356492969397,0.9004163399880001,0.9236212278876171,0.01722469146452998,,,0.0001,,,13,,,,2000,,,0,lbfgs,
430,mlp,0.8791356492969397,0.9004163399880001,0.9236212278876171,0.01722469146452998,,,0.0001,,,13,,,,1000,,,0,lbfgs,
434,mlp,0.8791356492969397,0.9004163399880001,0.9236212278876171,0.01722469146452998,,,0.0001,,,13,,,,1500,,,0,lbfgs,
454,mlp,0.8789702233250621,0.8997988129762924,0.9226638917793965,0.01739774649561469,,,1e-07,,,13,,,,1000,,,0,lbfgs,
462,mlp,0.8789702233250621,0.8997988129762924,0.9226638917793965,0.01739774649561469,,,1e-07,,,13,,,,2000,,,0,lbfgs,
458,mlp,0.8789702233250621,0.8997988129762924,0.9226638917793965,0.01739774649561469,,,1e-07,,,13,,,,1500,,,0,lbfgs,
299,ExtraTreesClassifier,0.8536807278742763,0.8992105396115841,0.9236628511966701,0.024991781943454982,,,,gini,,,,8,log2,,20,,,,
245,ExtraTreesClassifier,0.8751438198553583,0.8988903180652962,0.9157752341311133,0.013481060739119106,,,,gini,,,,5,log2,,20,,,,
215,ExtraTreesClassifier,0.872125723738627,0.8985477891550893,0.9287269888231426,0.01934485071345889,,,,gini,,,,4,auto,,20,,,,
311,ExtraTreesClassifier,0.8871014135437213,0.8985212778985291,0.920508711374096,0.012329431315654572,,,,entropy,,,,4,sqrt,,20,,,,
263,ExtraTreesClassifier,0.8653019023986765,0.8973363122664931,0.9201040582726326,0.022311571546843576,,,,gini,,,,6,log2,,20,,,,
364,ExtraTreesClassifier,0.877034023668639,0.8971976496581675,0.9233234714003945,0.014983285623311528,,,,entropy,,,,7,sqrt,,10,,,,
305,ExtraTreesClassifier,0.8704921422663358,0.897142030990346,0.9195213319458897,0.01585417843604007,,,,entropy,,,,4,auto,,20,,,,
376,ExtraTreesClassifier,0.8672456575682381,0.897053226045902,0.9213099934253781,0.02177107224602177,,,,entropy,,,,8,auto,,10,,,,
382,ExtraTreesClassifier,0.8637923904052937,0.8953024278211185,0.9230176899063476,0.02009025969996832,,,,entropy,,,,8,sqrt,,10,,,,
457,mlp,0.865507889546351,0.8950536594510019,0.9378772112382934,0.024683248632731608,,,1e-07,,,13,,,,1000,,,9,lbfgs,
461,mlp,0.865507889546351,0.8950536594510019,0.9378772112382934,0.024683248632731608,,,1e-07,,,13,,,,1500,,,9,lbfgs,
465,mlp,0.865507889546351,0.8950536594510019,0.9378772112382934,0.024683248632731608,,,1e-07,,,13,,,,2000,,,9,lbfgs,
433,mlp,0.8580087113740961,0.8940742749272926,0.9366285119667014,0.02616510261019914,,,0.0001,,,13,,,,1000,,,9,lbfgs,
437,mlp,0.8580087113740961,0.8940742749272926,0.9366285119667014,0.02616510261019914,,,0.0001,,,13,,,,1500,,,9,lbfgs,
441,mlp,0.8580087113740961,0.8940742749272926,0.9366285119667014,0.02616510261019914,,,0.0001,,,13,,,,2000,,,9,lbfgs,
160,Ridge Classifier,0.8706854043392505,0.8938974468437367,0.9143392299687825,0.017452863165234204,,,1,,,,,,,,,,,,
