,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
46,RandomForestClassifier,0.9297398543184183,0.9376993550576358,0.9458643507030604,0.005477224842353258,,,,gini,,,,4,sqrt,,200,,,,
337,ExtraTreesClassifier,0.9273093359631822,0.9376105566125578,0.9499687825182102,0.008875491032745571,,,,entropy,,,,5,log2,,50,,,,
320,ExtraTreesClassifier,0.9312952005259697,0.9375035527587757,0.9438085327783559,0.004682511519203144,,,,entropy,,,,4,log2,,100,,,,
388,ExtraTreesClassifier,0.9322813938198554,0.9374924713395056,0.9479708636836629,0.005487105253339413,,,,entropy,,,,8,log2,,10,,,,
34,SVC,0.9304474505723205,0.9374885173303887,0.9497606659729448,0.006744299010271371,5,,,,0.0001,,rbf,,,,,,,,
251,ExtraTreesClassifier,0.9165433925049309,0.9373114215755696,0.955213319458897,0.012893689994557169,,,,gini,,,,6,auto,,20,,,,
202,knn,0.9335963182117029,0.9372396837955751,0.9462018730489073,0.004588839734331573,,brute,,,,,,,,,,5,,,uniform
178,knn,0.9335963182117029,0.9372396837955751,0.9462018730489073,0.004588839734331573,,ball_tree,,,,,,,,,,5,,,uniform
190,knn,0.9335963182117029,0.9372396837955751,0.9462018730489073,0.004588839734331573,,kd_tree,,,,,,,,,,5,,,uniform
166,knn,0.9335963182117029,0.9372396837955751,0.9462018730489073,0.004588839734331573,,auto,,,,,,,,,,5,,,uniform
224,ExtraTreesClassifier,0.9291173570019724,0.9372264126030234,0.9506347554630593,0.007721948309411012,,,,gini,,,,4,sqrt,,100,,,,
314,ExtraTreesClassifier,0.9294871794871795,0.9372070249938258,0.9496774193548387,0.0074418382419482185,,,,entropy,,,,4,sqrt,,100,,,,
234,ExtraTreesClassifier,0.9289940828402367,0.9372024189956634,0.9540894901144641,0.008721041595359932,,,,gini,,,,5,auto,,40,,,,
330,ExtraTreesClassifier,0.9328566732412886,0.9371733582772166,0.9467637877211239,0.0053827435874171424,,,,entropy,,,,5,sqrt,,40,,,,
241,ExtraTreesClassifier,0.9275147928994083,0.9371499906614371,0.9444328824141519,0.00676164107175256,,,,gini,,,,5,sqrt,,50,,,,
308,ExtraTreesClassifier,0.9261998685075608,0.9369777714836548,0.9530072840790843,0.008992800810361991,,,,entropy,,,,4,auto,,100,,,,
292,ExtraTreesClassifier,0.9213319458896981,0.9368302971031298,0.9505098855359001,0.00952417456017042,,,,gini,,,,8,sqrt,,10,,,,
332,ExtraTreesClassifier,0.9274737015121631,0.9367903564457635,0.9514672216441207,0.009197820487170346,,,,entropy,,,,5,sqrt,,100,,,,
325,ExtraTreesClassifier,0.9208579881656804,0.9366950497406753,0.948636836628512,0.009852604275937177,,,,entropy,,,,5,auto,,50,,,,
107,RandomForestClassifier,0.9276586888657649,0.9365033570936477,0.9427679500520292,0.0061906518886017696,,,,entropy,,,,4,sqrt,,500,,,,
42,RandomForestClassifier,0.9267429760665973,0.9363564235288001,0.9461538461538461,0.007115518886409025,,,,gini,,,,4,auto,,200,,,,
44,RandomForestClassifier,0.9321540062434964,0.9362793906467963,0.9421009098428453,0.0033905735333641315,,,,gini,,,,4,sqrt,,50,,,,
48,RandomForestClassifier,0.9287408949011445,0.9361646864124251,0.940694789081886,0.004216934767376399,,,,gini,,,,4,log2,,50,,,,
275,ExtraTreesClassifier,0.9278668054110302,0.9361030672903322,0.9459884201819685,0.006458787280644432,,,,gini,,,,7,sqrt,,20,,,,
111,RandomForestClassifier,0.9259521331945889,0.9360733203756496,0.9425144747725392,0.005890870194331496,,,,entropy,,,,4,log2,,500,,,,
29,SVC,0.9285744016649323,0.935958886720153,0.9487617065556712,0.006982900464014685,4,,,,0.0001,,rbf,,,,,,,,
336,ExtraTreesClassifier,0.9325279421433268,0.935853469737925,0.9428511966701353,0.0038722341392070504,,,,entropy,,,,5,log2,,40,,,,
286,ExtraTreesClassifier,0.9252958579881656,0.9358269701118097,0.9441415192507805,0.006373694397571291,,,,gini,,,,8,auto,,10,,,,
274,ExtraTreesClassifier,0.9240220249835635,0.9357820482034039,0.9526468155500414,0.01020512091019647,,,,gini,,,,7,sqrt,,10,,,,
298,ExtraTreesClassifier,0.9284598948060487,0.9357798726261066,0.9477627471383976,0.006545146881234557,,,,gini,,,,8,log2,,10,,,,
263,ExtraTreesClassifier,0.9249671268902038,0.9354981449440747,0.9460145681581685,0.008547959037506435,,,,gini,,,,6,log2,,20,,,,
103,RandomForestClassifier,0.9269927159209157,0.9353076977808428,0.9408188585607941,0.005032634511695989,,,,entropy,,,,4,auto,,500,,,,
102,RandomForestClassifier,0.92528616024974,0.9352746030084541,0.9429693961952026,0.006326580718252927,,,,entropy,,,,4,auto,,200,,,,
240,ExtraTreesClassifier,0.9226638917793966,0.9352209856322959,0.9475130072840791,0.008421118338775856,,,,gini,,,,5,sqrt,,40,,,,
376,ExtraTreesClassifier,0.9266107823800132,0.935162120873159,0.9424765868886577,0.005606315176556384,,,,entropy,,,,8,auto,,10,,,,
109,RandomForestClassifier,0.9262851196670135,0.9351062129835442,0.9396462018730489,0.0051629768727508825,,,,entropy,,,,4,log2,,100,,,,
110,RandomForestClassifier,0.924786680541103,0.9349653747979211,0.9411083540115798,0.006216379412980504,,,,entropy,,,,4,log2,,200,,,,
324,ExtraTreesClassifier,0.9297748191978961,0.9348759938043937,0.9424349635796045,0.004314315919706831,,,,entropy,,,,5,auto,,40,,,,
106,RandomForestClassifier,0.9270759625390219,0.9348107169074511,0.9411083540115799,0.0059453125076815655,,,,entropy,,,,4,sqrt,,200,,,,
228,ExtraTreesClassifier,0.9223309053069719,0.9346532509487364,0.9497606659729448,0.009585632038675353,,,,gini,,,,4,log2,,40,,,,
223,ExtraTreesClassifier,0.9236628511966701,0.9345466148222492,0.9471383975026013,0.008544476757736959,,,,gini,,,,4,sqrt,,50,,,,
217,ExtraTreesClassifier,0.9275558842866536,0.9344434534621439,0.939146722164412,0.00418055990393397,,,,gini,,,,4,auto,,50,,,,
306,ExtraTreesClassifier,0.9239542143600417,0.9344405595338519,0.9517169614984391,0.009243360834016796,,,,entropy,,,,4,auto,,40,,,,
24,SVC,0.9276170655567118,0.9344298992050932,0.9476795005202913,0.00719191044265971,3,,,,0.0001,,rbf,,,,,,,,
45,RandomForestClassifier,0.9221227887617065,0.9343669590013143,0.9469396195202646,0.008487227836038785,,,,gini,,,,4,sqrt,,100,,,,
40,RandomForestClassifier,0.9281165452653486,0.9343340438166742,0.9442514474772539,0.005649459183545576,,,,gini,,,,4,auto,,50,,,,
318,ExtraTreesClassifier,0.9280489809335963,0.9341382315977288,0.940270551508845,0.0052932835169820815,,,,entropy,,,,4,log2,,40,,,,
100,RandomForestClassifier,0.9248699271592091,0.9340205708359074,0.9433506763787721,0.0070573579721974,,,,entropy,,,,4,auto,,50,,,,
101,RandomForestClassifier,0.9281997918834547,0.933768524390753,0.9380479735318445,0.003276478441903266,,,,entropy,,,,4,auto,,100,,,,
104,RandomForestClassifier,0.9226222684703433,0.9335274122739504,0.9419354838709677,0.006728048559336258,,,,entropy,,,,4,sqrt,,50,,,,
105,RandomForestClassifier,0.9272682445759368,0.9332577946213982,0.9379812695109261,0.004567704748236518,,,,entropy,,,,4,sqrt,,100,,,,
256,ExtraTreesClassifier,0.9197918834547346,0.9329707843229815,0.9428829717291256,0.007670260049980653,,,,gini,,,,6,sqrt,,10,,,,
229,ExtraTreesClassifier,0.92163872452334,0.932919224167243,0.9460145681581686,0.008025004413220356,,,,gini,,,,4,log2,,50,,,,
364,ExtraTreesClassifier,0.9258711374095989,0.9326983616808316,0.9391645988420181,0.004733988514896274,,,,entropy,,,,7,sqrt,,10,,,,
239,ExtraTreesClassifier,0.9254602235371466,0.9326217635722157,0.9454734651404787,0.007595288489952809,,,,gini,,,,5,sqrt,,20,,,,
307,ExtraTreesClassifier,0.917776134122288,0.9325861347311759,0.9441831425598335,0.009219515838930041,,,,entropy,,,,4,auto,,50,,,,
341,ExtraTreesClassifier,0.9157215647600263,0.9322239195830008,0.9411030176899062,0.008811177972912638,,,,entropy,,,,6,auto,,20,,,,
319,ExtraTreesClassifier,0.9280078895463509,0.9321579363075803,0.9424765868886578,0.005331508297087402,,,,entropy,,,,4,log2,,50,,,,
19,SVC,0.9244953173777315,0.9320947994124573,0.9448907388137356,0.007382547514802502,2,,,,0.0001,,rbf,,,,,,,,
222,ExtraTreesClassifier,0.9178994082840236,0.9320073083661893,0.9407873109796185,0.007820060272295154,,,,gini,,,,4,sqrt,,40,,,,
370,ExtraTreesClassifier,0.9194197896120972,0.9318332098453765,0.9487200832466182,0.01038969928085238,,,,entropy,,,,7,log2,,10,,,,
108,RandomForestClassifier,0.9221227887617065,0.9316858931599988,0.9387510339123243,0.006801532697410197,,,,entropy,,,,4,log2,,50,,,,
335,ExtraTreesClassifier,0.9218852728468113,0.9309462892382128,0.9523413111342351,0.010969671289696038,,,,entropy,,,,5,log2,,20,,,,
312,ExtraTreesClassifier,0.9147764628533859,0.9297553672791805,0.9422684703433923,0.009280528547417729,,,,entropy,,,,4,sqrt,,40,,,,
14,SVC,0.9219263642340566,0.9296170877913854,0.9430176899063476,0.007878426566202083,1,,,,0.0001,,rbf,,,,,,,,
313,ExtraTreesClassifier,0.9186390532544377,0.9295339543990788,0.9428511966701354,0.00789577164662361,,,,entropy,,,,4,sqrt,,50,,,,
221,ExtraTreesClassifier,0.9193786982248521,0.9289877134614187,0.9412393162393162,0.007903236101984039,,,,gini,,,,4,sqrt,,20,,,,
268,ExtraTreesClassifier,0.9154750164365548,0.9287196601036751,0.9475962539021853,0.011537201975713595,,,,gini,,,,7,auto,,10,,,,
4,SVC,0.9229136316337149,0.9283853162899428,0.9378563995837669,0.005484574012926357,5,,,,,,linear,,,,,,,,
245,ExtraTreesClassifier,0.9138313609467456,0.9283383576854322,0.9465140478668054,0.011249773096571634,,,,gini,,,,5,log2,,20,,,,
233,ExtraTreesClassifier,0.9232882414151925,0.9283372028506903,0.9346514047866805,0.004067453698393831,,,,gini,,,,5,auto,,20,,,,
9,SVC,0.9231633714880334,0.9283367509737076,0.937856399583767,0.005436904519844134,10,,,,,,linear,,,,,,,,
8,SVC,0.9231633714880332,0.9283201016500863,0.9377731529656608,0.0053991520464453215,9,,,,,,linear,,,,,,,,
216,ExtraTreesClassifier,0.9231591058514136,0.9283053744284834,0.9382726326742976,0.005412472193890012,,,,gini,,,,4,auto,,40,,,,
5,SVC,0.922996878251821,0.9283030271310908,0.9377315296566077,0.005413840453426486,6,,,,,,linear,,,,,,,,
3,SVC,0.9228720083246619,0.9282864845339031,0.9378563995837669,0.005536008147693939,4,,,,,,linear,,,,,,,,
7,SVC,0.9230385015608742,0.9282784783410334,0.9376899063475546,0.005385587683123925,8,,,,,,linear,,,,,,,,
323,ExtraTreesClassifier,0.9116124260355031,0.9282601552595949,0.9491363163371488,0.012975546258352389,,,,entropy,,,,5,auto,,20,,,,
6,SVC,0.9230385015608741,0.9282536641031799,0.9376482830385016,0.0053728507806304,7,,,,,,linear,,,,,,,,
329,ExtraTreesClassifier,0.9124342537804077,0.9282097167576235,0.9499687825182102,0.012155161956166756,,,,entropy,,,,5,sqrt,,20,,,,
2,SVC,0.9229136316337149,0.928179434842486,0.9378147762747138,0.0055436878972429495,3,,,,,,linear,,,,,,,,
1,SVC,0.9228720083246619,0.9280310266056684,0.9376066597294485,0.005519867734484028,2,,,,,,linear,,,,,,,,
0,SVC,0.9226660092044707,0.9278182024668858,0.9375650364203955,0.005755899031267333,1,,,,,,linear,,,,,,,,
346,ExtraTreesClassifier,0.9137286324786325,0.9272958968133265,0.9357752341311134,0.008309574938851497,,,,entropy,,,,6,sqrt,,10,,,,
322,ExtraTreesClassifier,0.9138397502601456,0.926677442615728,0.9393132154006243,0.00888784014599666,,,,entropy,,,,5,auto,,10,,,,
358,ExtraTreesClassifier,0.9099687705456936,0.9261432470559582,0.9450197238658777,0.012916736384083081,,,,entropy,,,,7,auto,,10,,,,
340,ExtraTreesClassifier,0.910913872452334,0.9256906643788897,0.9365244536940688,0.010122969114554677,,,,entropy,,,,6,auto,,10,,,,
161,Ridge Classifier,0.9157626561472716,0.9255757138527491,0.9339854318418314,0.006482668055359995,,,0.1,,,,,,,,,,,,
160,Ridge Classifier,0.9154339250493096,0.9255017493557076,0.9339854318418314,0.006575956382164961,,,1,,,,,,,,,,,,
162,Ridge Classifier,0.9150641025641025,0.9254442214135643,0.9339854318418314,0.006703447775235699,,,0.01,,,,,,,,,,,,
163,Ridge Classifier,0.914077909270217,0.9252387644773382,0.9339854318418314,0.007006577764630022,,,0.001,,,,,,,,,,,,
165,Ridge Classifier,0.9139957264957265,0.9252223279224401,0.9339854318418314,0.0070327878278673385,,,0,,,,,,,,,,,,
164,Ridge Classifier,0.9139957264957265,0.9252223279224401,0.9339854318418314,0.0070327878278673385,,,0.0001,,,,,,,,,,,,
352,ExtraTreesClassifier,0.8939636752136753,0.9246410449680882,0.9555879292403746,0.0217826242789195,,,,entropy,,,,6,log2,,10,,,,
280,ExtraTreesClassifier,0.9146401985111662,0.9246121311695233,0.939965483234714,0.008673193052306823,,,,gini,,,,7,log2,,10,,,,
411,mlp,0.9054076265614727,0.9235095727111455,0.9417287014061207,0.012247162850135402,,,0.1,,,13,,,,1500,,,1,lbfgs,
215,ExtraTreesClassifier,0.9142559833506764,0.9230083065319997,0.9300312174817897,0.006146274512706968,,,,gini,,,,4,auto,,20,,,,
305,ExtraTreesClassifier,0.9057774490466798,0.9226546359978682,0.9371071800208117,0.011120362893139347,,,,entropy,,,,4,auto,,20,,,,
227,ExtraTreesClassifier,0.9093934911242604,0.9225966349702842,0.9433090530697191,0.01175324771051008,,,,gini,,,,4,log2,,20,,,,
415,mlp,0.9054076265614727,0.9222365911235079,0.9416873449131514,0.01239005573068867,,,0.1,,,13,,,,2000,,,1,lbfgs,
407,mlp,0.9050364203954214,0.9214883945265759,0.9419354838709677,0.014338372196942473,,,0.1,,,13,,,,1000,,,1,lbfgs,
317,ExtraTreesClassifier,0.9001479289940828,0.9213686943320738,0.9416857440166493,0.013929098250699623,,,,entropy,,,,4,log2,,20,,,,
250,ExtraTreesClassifier,0.9038293444328824,0.9205603623499246,0.9359001040582726,0.010519478951506022,,,,gini,,,,6,auto,,10,,,,
334,ExtraTreesClassifier,0.9049739854318418,0.9199232671150546,0.9452653485952133,0.01434238194847666,,,,entropy,,,,5,log2,,10,,,,
311,ExtraTreesClassifier,0.9093465674110834,0.9197461614401499,0.9345265348595214,0.009588569168063301,,,,entropy,,,,4,sqrt,,20,,,,
232,ExtraTreesClassifier,0.9157981803143094,0.9195159166056067,0.9292819979188345,0.005019615563219539,,,,gini,,,,5,auto,,10,,,,
406,mlp,0.8994082840236686,0.9180193944506359,0.9303500986193295,0.011036439485480106,,,0.1,,,13,,,,1000,,,0,lbfgs,
414,mlp,0.8994082840236686,0.9179492739865948,0.9302062787639711,0.010966418581064003,,,0.1,,,13,,,,2000,,,0,lbfgs,
410,mlp,0.8994082840236686,0.9179492739865948,0.9302062787639711,0.010966418581064003,,,0.1,,,13,,,,1500,,,0,lbfgs,
262,ExtraTreesClassifier,0.903891779396462,0.9175478551749663,0.938480749219563,0.01388198846434599,,,,gini,,,,6,log2,,10,,,,
395,mlp,0.8947649572649572,0.91569349502388,0.9281165452653486,0.01345127372147033,,,0.1,,,10,,,,1000,,,1,lbfgs,
