,estimator,min_score,mean_score,max_score,std_score,alpha,criterion,hidden_layer_sizes,max_depth,max_features,max_iter,n_estimators,random_state,solver
32,RandomForestClassifier,0.6440664036817882,0.7585419686318787,0.8090894148586455,0.044171600118950646,,gini,,7,sqrt,,500,,
42,RandomForestClassifier,0.6457100591715976,0.7585388360113635,0.8048574801821554,0.04341636633728378,,gini,,8,log2,,100,,
43,RandomForestClassifier,0.6517915844838921,0.7583426563446543,0.8110618014464168,0.04336459758008196,,gini,,8,log2,,200,,
30,RandomForestClassifier,0.6443951347797502,0.7582603543642505,0.8067882971729126,0.04283265255223676,,gini,,7,sqrt,,100,,
80,RandomForestClassifier,0.6475180802103879,0.7580320972179113,0.8069526627218936,0.04296971691320583,,entropy,,7,log2,,500,,
35,RandomForestClassifier,0.6501479289940828,0.7579836552613775,0.8074457593688363,0.042491711920064824,,gini,,7,log2,,500,,
88,RandomForestClassifier,0.6478468113083498,0.7578214991801404,0.8085963182117029,0.04356939290511157,,entropy,,8,log2,,200,,
25,RandomForestClassifier,0.6465318869165023,0.7578120735962893,0.8062952005259697,0.043788823999323864,,gini,,6,log2,,200,,
87,RandomForestClassifier,0.6582018408941486,0.7577823386514695,0.8276627218934911,0.044398792342472355,,entropy,,8,log2,,100,,
40,RandomForestClassifier,0.6425871137409599,0.7577389061155294,0.8079388560157791,0.04624419187255002,,gini,,8,sqrt,,200,,
73,RandomForestClassifier,0.6485042735042735,0.7576546025846725,0.8151709401709402,0.04444053937460485,,entropy,,7,auto,,200,,
39,RandomForestClassifier,0.6353550295857988,0.7575635486724397,0.8163265306122448,0.04897649266151872,,gini,,8,sqrt,,100,,
65,RandomForestClassifier,0.6550788954635108,0.7574968737556149,0.8041584483892176,0.04024965629999674,,entropy,,6,auto,,500,,
28,RandomForestClassifier,0.6517915844838922,0.7573338943219063,0.8062067802327543,0.042990098716038,,gini,,7,auto,,200,,
19,RandomForestClassifier,0.6470249835634451,0.7573095375043427,0.8023504273504273,0.043520762251223886,,gini,,6,auto,,200,,
41,RandomForestClassifier,0.6439020381328074,0.7571654868607917,0.8090740428402766,0.0438801580707261,,gini,,8,sqrt,,500,,
68,RandomForestClassifier,0.6465318869165023,0.7571549468402615,0.8020216962524656,0.04171418802981783,,entropy,,6,sqrt,,500,,
26,RandomForestClassifier,0.6514628533859304,0.7571034360245149,0.8072813938198553,0.04116299398972049,,gini,,6,log2,,500,,
22,RandomForestClassifier,0.6545857988165681,0.7569286856999144,0.8026791584483892,0.039684849346201596,,gini,,6,sqrt,,200,,
31,RandomForestClassifier,0.6575443786982249,0.756857882931809,0.8049802761341223,0.03958948974344573,,gini,,7,sqrt,,200,,
82,RandomForestClassifier,0.642094017094017,0.7568539103254388,0.8153353057199213,0.04531025870290387,,entropy,,8,auto,,200,,
37,RandomForestClassifier,0.6508053911900066,0.7565306682439549,0.8041584483892177,0.04247253910127191,,gini,,8,auto,,200,,
67,RandomForestClassifier,0.6463675213675215,0.7565257087235109,0.8120479947403025,0.042681546278179015,,entropy,,6,sqrt,,200,,
64,RandomForestClassifier,0.649819197896121,0.7564886966735118,0.7994602799797603,0.042195085963518696,,entropy,,6,auto,,200,,
23,RandomForestClassifier,0.6460387902695596,0.7562275525562239,0.8059664694280079,0.04259834395786339,,gini,,6,sqrt,,500,,
81,RandomForestClassifier,0.6593523997370152,0.7558251632926958,0.8076101249178171,0.03933492380163001,,entropy,,8,auto,,100,,
18,RandomForestClassifier,0.657380013149244,0.7557744370181931,0.7944608809993425,0.039087423410071744,,gini,,6,auto,,100,,
