,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
372,ExtraTreesClassifier,0.6821170282708744,0.7340466518163822,0.807938856015779,0.03488023841739773,,,,entropy,,,,7,log2,,40,,,,
364,ExtraTreesClassifier,0.6883949383949384,0.7336116638938817,0.7987343852728468,0.03128126788005094,,,,entropy,,,,7,sqrt,,10,,,,
269,ExtraTreesClassifier,0.6903353057199212,0.7331444072078438,0.7898586456278763,0.029036158852150676,,,,gini,,,,7,auto,,20,,,,
354,ExtraTreesClassifier,0.6848984348984349,0.7330421063562922,0.7898586456278763,0.0292680476973567,,,,entropy,,,,6,log2,,40,,,,
382,ExtraTreesClassifier,0.6873767258382643,0.7322321728665385,0.779585798816568,0.031453595254787754,,,,entropy,,,,8,sqrt,,10,,,,
356,ExtraTreesClassifier,0.6944444444444444,0.7316029583137474,0.7819690992767916,0.02801529035141391,,,,entropy,,,,6,log2,,100,,,,
198,knn,0.679456906729634,0.7315697054083667,0.8357988165680473,0.03963307705588295,,kd_tree,,,,,,,,,,9,,,uniform
174,knn,0.679456906729634,0.7315697054083667,0.8357988165680473,0.03963307705588295,,auto,,,,,,,,,,9,,,uniform
202,knn,0.686965811965812,0.7314165410569007,0.8259368836291914,0.04143815283269739,,brute,,,,,,,,,,5,,,uniform
210,knn,0.679035250463822,0.7311835974548263,0.8347304404996713,0.03928190726377204,,brute,,,,,,,,,,9,,,uniform
264,ExtraTreesClassifier,0.6913214990138068,0.7311827269744352,0.7924884944115714,0.03229692471813149,,,,gini,,,,6,log2,,40,,,,
252,ExtraTreesClassifier,0.6954306377383299,0.7311555507984079,0.7819690992767916,0.02798462964276544,,,,gini,,,,6,auto,,40,,,,
343,ExtraTreesClassifier,0.6939513477975017,0.7310741969208503,0.7870644312952005,0.02443343988687801,,,,entropy,,,,6,auto,,50,,,,
237,ExtraTreesClassifier,0.6959237343852728,0.7310118854949026,0.7869000657462196,0.029617469421718383,,,,gini,,,,5,auto,,500,,,,
208,knn,0.6835963182117029,0.7307328105904529,0.8393326758711375,0.04134924050729126,,brute,,,,,,,,,,8,,,uniform
192,knn,0.6764464168310322,0.7307046197780462,0.8295529257067719,0.0424875729358766,,kd_tree,,,,,,,,,,6,,,uniform
168,knn,0.6764464168310322,0.7307046197780462,0.8295529257067719,0.0424875729358766,,auto,,,,,,,,,,6,,,uniform
204,knn,0.6830210387902695,0.7306766119328557,0.8334976988823142,0.04254907872995803,,brute,,,,,,,,,,6,,,uniform
186,knn,0.6759993253499748,0.730577528254851,0.8333333333333333,0.039324748097148095,,ball_tree,,,,,,,,,,9,,,uniform
249,ExtraTreesClassifier,0.6958874458874459,0.7305308730009029,0.7934746877054569,0.029926054688800382,,,,gini,,,,5,log2,,500,,,,
259,ExtraTreesClassifier,0.6801446416831033,0.7303514431511435,0.8054733727810651,0.03633597148723635,,,,gini,,,,6,sqrt,,50,,,,
184,knn,0.6831854043392505,0.7303469077819726,0.8440992767915846,0.042709286440135066,,ball_tree,,,,,,,,,,8,,,uniform
333,ExtraTreesClassifier,0.6972194472194472,0.7303306153830629,0.7859138724523339,0.02865276615695193,,,,entropy,,,,5,sqrt,,500,,,,
263,ExtraTreesClassifier,0.6740631163708086,0.7301713812328199,0.775887573964497,0.034886284446151196,,,,gini,,,,6,log2,,20,,,,
172,knn,0.6817338505650195,0.7299982679103559,0.8460716633793557,0.043941269531675965,,auto,,,,,,,,,,8,,,uniform
196,knn,0.6817338505650195,0.7299982679103559,0.8460716633793557,0.043941269531675965,,kd_tree,,,,,,,,,,8,,,uniform
243,ExtraTreesClassifier,0.6965811965811965,0.7298569576166979,0.790680473372781,0.029877064377270637,,,,gini,,,,5,sqrt,,500,,,,
292,ExtraTreesClassifier,0.6821170282708745,0.7295946852015783,0.7665187376725838,0.025326034422154652,,,,gini,,,,8,sqrt,,10,,,,
180,knn,0.679240631163708,0.7294063010471601,0.8329224194608811,0.043207068369083,,ball_tree,,,,,,,,,,6,,,uniform
258,ExtraTreesClassifier,0.68310322156476,0.7293498473443527,0.7862426035502958,0.030820062999211906,,,,gini,,,,6,sqrt,,40,,,,
377,ExtraTreesClassifier,0.6826101249178173,0.7293312040939413,0.8064595660749507,0.035237282111180185,,,,entropy,,,,8,auto,,20,,,,
39,SVC,0.6642011834319528,0.7291946606507047,0.8079388560157791,0.043521292249183746,10,,,,0.0001,,rbf,,,,,,,,
327,ExtraTreesClassifier,0.6919789612097303,0.7287484812334962,0.7898586456278764,0.031459995222613744,,,,entropy,,,,5,auto,,500,,,,
265,ExtraTreesClassifier,0.6753780407626561,0.7286830898594135,0.7967619986850757,0.038371986822051965,,,,gini,,,,6,log2,,50,,,,
250,ExtraTreesClassifier,0.6719263642340565,0.7286829734257306,0.7979125575279421,0.036604758373308816,,,,gini,,,,6,auto,,10,,,,
330,ExtraTreesClassifier,0.6891847468770546,0.7285961832040753,0.7793392504930966,0.03238326760656661,,,,entropy,,,,5,sqrt,,40,,,,
339,ExtraTreesClassifier,0.6964168310322156,0.7284739112036814,0.7809829059829059,0.028870598330900003,,,,entropy,,,,5,log2,,500,,,,
353,ExtraTreesClassifier,0.6862261669953978,0.7284646131424353,0.7808185404339251,0.02878416072622387,,,,entropy,,,,6,log2,,20,,,,
365,ExtraTreesClassifier,0.6711045364891518,0.7282146466587026,0.8217455621301775,0.03883580585861904,,,,entropy,,,,7,sqrt,,20,,,,
241,ExtraTreesClassifier,0.6904996712689021,0.7280630333702263,0.7931459566074951,0.031528419836731846,,,,gini,,,,5,sqrt,,50,,,,
166,knn,0.6818704799474031,0.727978326479825,0.8208415516107823,0.041404533860848074,,auto,,,,,,,,,,5,,,uniform
190,knn,0.6818704799474031,0.727978326479825,0.8208415516107823,0.041404533860848074,,kd_tree,,,,,,,,,,5,,,uniform
324,ExtraTreesClassifier,0.6863905325443787,0.7279762819597986,0.7757232084155161,0.03145417973070199,,,,entropy,,,,5,auto,,40,,,,
455,mlp,0.6503122945430638,0.727809877435252,0.8044871794871794,0.04627043409078454,,,1e-07,,,13,,,,1000,,,1,lbfgs,
